Term,Date,Value
Cost of living,1/1/2010,528.9434866432618
Cost of living,2/1/2010,488.5196935923748
Cost of living,3/1/2010,535.730545856131
Cost of living,4/1/2010,500.3254798385965
Cost of living,5/1/2010,460.22714479264266
Cost of living,6/1/2010,488.9408707737146
Cost of living,7/1/2010,477.7820968657553
Cost of living,8/1/2010,453.70227540669487
Cost of living,9/1/2010,440.6266873713702
Cost of living,10/1/2010,464.7574570727237
Cost of living,11/1/2010,434.83355586459
Cost of living,12/1/2010,404.6638502365102
Cost of living,1/1/2011,513.1054228535543
Cost of living,2/1/2011,490.0464707647592
Cost of living,3/1/2011,514.1298941113697
Cost of living,4/1/2011,522.6359493267448
Cost of living,5/1/2011,493.210193294088
Cost of living,6/1/2011,507.0627095770003
Cost of living,7/1/2011,557.3873259556336
Cost of living,8/1/2011,539.7253430984781
Cost of living,9/1/2011,493.82090791424184
Cost of living,10/1/2011,521.8170942654629
Cost of living,11/1/2011,473.2837428209487
Cost of living,12/1/2011,447.6687579127682
Cost of living,1/1/2012,499.1654291459232
Cost of living,2/1/2012,473.515787448347
Cost of living,3/1/2012,468.36289449775126
Cost of living,4/1/2012,453.39668183422134
Cost of living,5/1/2012,437.4141221558008
Cost of living,6/1/2012,449.2690896953471
Cost of living,7/1/2012,466.40891731301684
Cost of living,8/1/2012,428.71705052225326
Cost of living,9/1/2012,426.58942990825517
Cost of living,10/1/2012,433.40432197439975
Cost of living,11/1/2012,397.65385630380206
Cost of living,12/1/2012,381.00267038203293
Cost of living,1/1/2013,476.5550921511156
Cost of living,2/1/2013,461.6377478820017
Cost of living,3/1/2013,454.71435957727857
Cost of living,4/1/2013,443.1092485770573
Cost of living,5/1/2013,439.017882942524
Cost of living,6/1/2013,443.3061947156877
Cost of living,7/1/2013,481.6350428452971
Cost of living,8/1/2013,457.37339013305524
Cost of living,9/1/2013,434.9875840472394
Cost of living,10/1/2013,451.8574782417203
Cost of living,11/1/2013,422.2456899498114
Cost of living,12/1/2013,432.31336069524065
Cost of living,1/1/2014,534.8633527796976
Cost of living,2/1/2014,502.24854863723414
Cost of living,3/1/2014,490.14542203003185
Cost of living,4/1/2014,497.2269506394515
Cost of living,5/1/2014,501.2606389034221
Cost of living,6/1/2014,514.0329409839533
Cost of living,7/1/2014,525.6024956456292
Cost of living,8/1/2014,469.11697082218006
Cost of living,9/1/2014,469.7521135166903
Cost of living,10/1/2014,482.00368695970207
Cost of living,11/1/2014,447.9617335117636
Cost of living,12/1/2014,440.6913613419986
Cost of living,1/1/2015,507.2627032842285
Cost of living,2/1/2015,486.00562980142445
Cost of living,3/1/2015,508.59083456346633
Cost of living,4/1/2015,508.42705375844554
Cost of living,5/1/2015,487.74336336275405
Cost of living,6/1/2015,512.9248594311005
Cost of living,7/1/2015,545.5029957025198
Cost of living,8/1/2015,518.6346294926932
Cost of living,9/1/2015,493.5663123329983
Cost of living,10/1/2015,498.01699407262004
Cost of living,11/1/2015,454.4189822032896
Cost of living,12/1/2015,453.2300540944983
Cost of living,1/1/2016,468.44938366108187
Cost of living,2/1/2016,466.4134729928136
Cost of living,3/1/2016,486.2064052617438
Cost of living,4/1/2016,494.06038448034457
Cost of living,5/1/2016,463.84355014230016
Cost of living,6/1/2016,478.70219202029557
Cost of living,7/1/2016,472.07110663900426
Cost of living,8/1/2016,443.3640134575851
Cost of living,9/1/2016,446.6099277429886
Cost of living,10/1/2016,456.1690409817874
Cost of living,11/1/2016,461.6350744204492
Cost of living,12/1/2016,430.46499148560974
Cost of living,1/1/2017,500.90016490488705
Cost of living,2/1/2017,498.03403413915106
Cost of living,3/1/2017,499.27985950898574
Cost of living,4/1/2017,495.0130100134542
Cost of living,5/1/2017,479.92405800887724
Cost of living,6/1/2017,500.02641627038713
Cost of living,7/1/2017,519.7841582983629
Cost of living,8/1/2017,472.42436445386994
Cost of living,9/1/2017,438.9411679896418
Cost of living,10/1/2017,462.52845183608076
Cost of living,11/1/2017,459.8923829095349
Cost of living,12/1/2017,445.1712334239969
Cost of living,1/1/2018,524.1325554139361
Cost of living,2/1/2018,512.987502100654
