Term,Date,Value
Short-term rental laws,1/1/2010,0
Short-term rental laws,2/1/2010,0
Short-term rental laws,3/1/2010,0
Short-term rental laws,4/1/2010,0
Short-term rental laws,5/1/2010,0
Short-term rental laws,6/1/2010,0
Short-term rental laws,7/1/2010,0
Short-term rental laws,8/1/2010,0
Short-term rental laws,9/1/2010,0
Short-term rental laws,10/1/2010,0
Short-term rental laws,11/1/2010,0
Short-term rental laws,12/1/2010,0
Short-term rental laws,1/1/2011,0
Short-term rental laws,2/1/2011,0
Short-term rental laws,3/1/2011,0
Short-term rental laws,4/1/2011,0
Short-term rental laws,5/1/2011,0
Short-term rental laws,6/1/2011,0
Short-term rental laws,7/1/2011,0
Short-term rental laws,8/1/2011,0
Short-term rental laws,9/1/2011,0
Short-term rental laws,10/1/2011,0
Short-term rental laws,11/1/2011,0
Short-term rental laws,12/1/2011,0
Short-term rental laws,1/1/2012,0
Short-term rental laws,2/1/2012,0
Short-term rental laws,3/1/2012,0
Short-term rental laws,4/1/2012,0
Short-term rental laws,5/1/2012,0
Short-term rental laws,6/1/2012,0
Short-term rental laws,7/1/2012,0
Short-term rental laws,8/1/2012,0
Short-term rental laws,9/1/2012,0
Short-term rental laws,10/1/2012,0
Short-term rental laws,11/1/2012,0
Short-term rental laws,12/1/2012,0
Short-term rental laws,1/1/2013,0
Short-term rental laws,2/1/2013,0
Short-term rental laws,3/1/2013,0
Short-term rental laws,4/1/2013,0
Short-term rental laws,5/1/2013,0
Short-term rental laws,6/1/2013,0
Short-term rental laws,7/1/2013,0
Short-term rental laws,8/1/2013,0
Short-term rental laws,9/1/2013,0
Short-term rental laws,10/1/2013,0
Short-term rental laws,11/1/2013,0
Short-term rental laws,12/1/2013,0
Short-term rental laws,1/1/2014,0
Short-term rental laws,2/1/2014,0
Short-term rental laws,3/1/2014,0
Short-term rental laws,4/1/2014,0
Short-term rental laws,5/1/2014,0
Short-term rental laws,6/1/2014,0
Short-term rental laws,7/1/2014,0
Short-term rental laws,8/1/2014,0
Short-term rental laws,9/1/2014,0
Short-term rental laws,10/1/2014,0
Short-term rental laws,11/1/2014,0
Short-term rental laws,12/1/2014,0
Short-term rental laws,1/1/2015,0
Short-term rental laws,2/1/2015,0
Short-term rental laws,3/1/2015,0
Short-term rental laws,4/1/2015,0
Short-term rental laws,5/1/2015,0
Short-term rental laws,6/1/2015,0
Short-term rental laws,7/1/2015,0
Short-term rental laws,8/1/2015,0
Short-term rental laws,9/1/2015,0
Short-term rental laws,10/1/2015,0
Short-term rental laws,11/1/2015,0
Short-term rental laws,12/1/2015,0
Short-term rental laws,1/1/2016,0
Short-term rental laws,2/1/2016,0
Short-term rental laws,3/1/2016,0
Short-term rental laws,4/1/2016,0
Short-term rental laws,5/1/2016,0
Short-term rental laws,6/1/2016,0
Short-term rental laws,7/1/2016,0
Short-term rental laws,8/1/2016,0
Short-term rental laws,9/1/2016,0
Short-term rental laws,10/1/2016,0
Short-term rental laws,11/1/2016,0
Short-term rental laws,12/1/2016,0
Short-term rental laws,1/1/2017,0
Short-term rental laws,2/1/2017,0
Short-term rental laws,3/1/2017,0
Short-term rental laws,4/1/2017,0
Short-term rental laws,5/1/2017,0
Short-term rental laws,6/1/2017,0
Short-term rental laws,7/1/2017,0
Short-term rental laws,8/1/2017,0
Short-term rental laws,9/1/2017,0
Short-term rental laws,10/1/2017,0
Short-term rental laws,11/1/2017,0
Short-term rental laws,12/1/2017,0
Short-term rental laws,1/1/2018,0
Short-term rental laws,2/1/2018,0
Short-term rental laws,3/1/2018,0
Short-term rental laws,4/1/2018,0
Short-term rental laws,5/1/2018,0
Short-term rental laws,6/1/2018,0
Short-term rental laws,7/1/2018,0
Short-term rental laws,8/1/2018,0
Short-term rental laws,9/1/2018,0
Short-term rental laws,10/1/2018,0
Short-term rental laws,11/1/2018,0
Short-term rental laws,12/1/2018,0
Short-term rental laws,1/1/2019,0
Short-term rental laws,2/1/2019,0
Short-term rental laws,3/1/2019,0
Short-term rental laws,4/1/2019,0
Short-term rental laws,5/1/2019,0
Short-term rental laws,6/1/2019,0
Short-term rental laws,7/1/2019,0
Short-term rental laws,8/1/2019,0
Short-term rental laws,9/1/2019,0
Short-term rental laws,10/1/2019,0
Short-term rental laws,11/1/2019,0
Short-term rental laws,12/1/2019,0
Short-term rental laws,1/1/2020,0
Short-term rental laws,2/1/2020,0
Short-term rental laws,3/1/2020,0
Short-term rental laws,4/1/2020,0
Short-term rental laws,5/1/2020,0
Short-term rental laws,6/1/2020,0
Short-term rental laws,7/1/2020,0.2989023199772414
Short-term rental laws,8/1/2020,0
Short-term rental laws,9/1/2020,0
Short-term rental laws,10/1/2020,0
Short-term rental laws,11/1/2020,0
Short-term rental laws,12/1/2020,0
Short-term rental laws,1/1/2021,0
Short-term rental laws,2/1/2021,0
Short-term rental laws,3/1/2021,0
Short-term rental laws,4/1/2021,0
Short-term rental laws,5/1/2021,0
Short-term rental laws,6/1/2021,0.35790945103214
Short-term rental laws,7/1/2021,0
Short-term rental laws,8/1/2021,0.37341069837735014
Short-term rental laws,9/1/2021,0.4579682405686303
Short-term rental laws,10/1/2021,0.5360511327567771
Short-term rental laws,11/1/2021,0.3605751916884908
Short-term rental laws,12/1/2021,0
Short-term rental laws,1/1/2022,0.766430105420579
Short-term rental laws,2/1/2022,0.6476024184884998
Short-term rental laws,3/1/2022,0.741219580549072
Short-term rental laws,4/1/2022,0.7687900128016146
Short-term rental laws,5/1/2022,0.6022088498972613
Short-term rental laws,6/1/2022,0.7008878389208312
Short-term rental laws,7/1/2022,0.7907479787154164
Short-term rental laws,8/1/2022,0.8374962157995989
Short-term rental laws,9/1/2022,0.5623546476974715
Short-term rental laws,10/1/2022,0.8358019428236123
Short-term rental laws,11/1/2022,0.5000708846893416
Short-term rental laws,12/1/2022,0.6122559921684169
Short-term rental laws,1/1/2023,0.6673860168824454
Short-term rental laws,2/1/2023,0.8278754255161391
Short-term rental laws,3/1/2023,0.4860701211671576
Short-term rental laws,4/1/2023,0.686727145338916
Short-term rental laws,5/1/2023,0.885282061914633
Short-term rental laws,6/1/2023,0.8661097973959241
Short-term rental laws,7/1/2023,0.5504195425153579
Short-term rental laws,8/1/2023,0.9977302915267056
Short-term rental laws,9/1/2023,0.6671236216151342
Short-term rental laws,10/1/2023,0.4214981878821326
Short-term rental laws,11/1/2023,0.5527060650070957
Short-term rental laws,12/1/2023,0.36928853065314715
Short-term rental laws,1/1/2024,0.41566925946748595
Short-term rental laws,2/1/2024,0.5232808524631246
Short-term rental laws,3/1/2024,0.576242115558397
Short-term rental laws,4/1/2024,0.9725424081619091
Short-term rental laws,5/1/2024,0.5291655323600091
Short-term rental laws,6/1/2024,0.7216706909392038
Short-term rental laws,7/1/2024,0.6768038065306838
Short-term rental laws,8/1/2024,0.2098588442492619
Airbnb regulations,1/1/2010,0
Airbnb regulations,2/1/2010,0
Airbnb regulations,3/1/2010,0
Airbnb regulations,4/1/2010,0
Airbnb regulations,5/1/2010,0
Airbnb regulations,6/1/2010,0
Airbnb regulations,7/1/2010,0
Airbnb regulations,8/1/2010,0
Airbnb regulations,9/1/2010,0
Airbnb regulations,10/1/2010,0
Airbnb regulations,11/1/2010,0
Airbnb regulations,12/1/2010,0
Airbnb regulations,1/1/2011,0
Airbnb regulations,2/1/2011,0
Airbnb regulations,3/1/2011,0
Airbnb regulations,4/1/2011,0
Airbnb regulations,5/1/2011,0
Airbnb regulations,6/1/2011,0
Airbnb regulations,7/1/2011,0
Airbnb regulations,8/1/2011,0
Airbnb regulations,9/1/2011,0
Airbnb regulations,10/1/2011,0
Airbnb regulations,11/1/2011,0
Airbnb regulations,12/1/2011,0
Airbnb regulations,1/1/2012,0
Airbnb regulations,2/1/2012,0
Airbnb regulations,3/1/2012,0
Airbnb regulations,4/1/2012,0
Airbnb regulations,5/1/2012,0
Airbnb regulations,6/1/2012,0
Airbnb regulations,7/1/2012,0
Airbnb regulations,8/1/2012,0
Airbnb regulations,9/1/2012,0
Airbnb regulations,10/1/2012,0
Airbnb regulations,11/1/2012,0
Airbnb regulations,12/1/2012,0
Airbnb regulations,1/1/2013,0
Airbnb regulations,2/1/2013,0
Airbnb regulations,3/1/2013,0
Airbnb regulations,4/1/2013,0
Airbnb regulations,5/1/2013,0
Airbnb regulations,6/1/2013,0
Airbnb regulations,7/1/2013,0
Airbnb regulations,8/1/2013,0
Airbnb regulations,9/1/2013,0
Airbnb regulations,10/1/2013,0
Airbnb regulations,11/1/2013,0
Airbnb regulations,12/1/2013,0
Airbnb regulations,1/1/2014,0
Airbnb regulations,2/1/2014,0
Airbnb regulations,3/1/2014,0
