Term,Date,Value
Hospitality jobs,1/1/2010,51.46087561993374
Hospitality jobs,2/1/2010,47.52934306821437
Hospitality jobs,3/1/2010,45.732886134053885
Hospitality jobs,4/1/2010,47.35185012791028
Hospitality jobs,5/1/2010,45.13734851476842
Hospitality jobs,6/1/2010,52.00109144587826
Hospitality jobs,7/1/2010,41.84401196221341
Hospitality jobs,8/1/2010,43.10373284530637
Hospitality jobs,9/1/2010,41.17006593664259
Hospitality jobs,10/1/2010,39.83518281111108
Hospitality jobs,11/1/2010,33.263182944387324
Hospitality jobs,12/1/2010,31.25114362905479
Hospitality jobs,1/1/2011,50.39023879751689
Hospitality jobs,2/1/2011,44.97470672565678
Hospitality jobs,3/1/2011,40.05084316442568
Hospitality jobs,4/1/2011,41.97866285691046
Hospitality jobs,5/1/2011,45.791883956454555
Hospitality jobs,6/1/2011,45.58433133867111
Hospitality jobs,7/1/2011,46.09888407623908
Hospitality jobs,8/1/2011,46.4125508702823
Hospitality jobs,9/1/2011,41.54680844109108
Hospitality jobs,10/1/2011,40.323409887423914
Hospitality jobs,11/1/2011,37.52341754719008
Hospitality jobs,12/1/2011,34.67230513277017
Hospitality jobs,1/1/2012,42.944644376650054
Hospitality jobs,2/1/2012,38.03533213429188
Hospitality jobs,3/1/2012,38.616745924800746
Hospitality jobs,4/1/2012,38.88551847616796
Hospitality jobs,5/1/2012,37.00965687918354
Hospitality jobs,6/1/2012,39.20198977852425
Hospitality jobs,7/1/2012,40.34523317883867
Hospitality jobs,8/1/2012,39.27828180551927
Hospitality jobs,9/1/2012,37.94348088625243
Hospitality jobs,10/1/2012,35.37080831628355
Hospitality jobs,11/1/2012,33.18313333898805
Hospitality jobs,12/1/2012,29.606731928732
Hospitality jobs,1/1/2013,40.342625000893975
Hospitality jobs,2/1/2013,35.57888336215725
Hospitality jobs,3/1/2013,38.373910020290374
Hospitality jobs,4/1/2013,40.166107770744276
Hospitality jobs,5/1/2013,39.46443854369406
Hospitality jobs,6/1/2013,40.916882717087
Hospitality jobs,7/1/2013,40.80970410014767
Hospitality jobs,8/1/2013,40.613482865869
Hospitality jobs,9/1/2013,41.87504224211999
Hospitality jobs,10/1/2013,39.23465471492396
Hospitality jobs,11/1/2013,37.49668526575357
Hospitality jobs,12/1/2013,32.374693483233784
Hospitality jobs,1/1/2014,44.79594341418581
Hospitality jobs,2/1/2014,39.13606919725828
Hospitality jobs,3/1/2014,36.53486056404879
Hospitality jobs,4/1/2014,38.6393016405715
Hospitality jobs,5/1/2014,40.678621768381944
Hospitality jobs,6/1/2014,45.050354627556516
