Term,Date,Value
Affordable housing,1/1/2010,115.399164275319
Affordable housing,2/1/2010,109.55559312174162
Affordable housing,3/1/2010,121.11422148154014
Affordable housing,4/1/2010,113.1727604076469
Affordable housing,5/1/2010,108.78064442521612
Affordable housing,6/1/2010,110.3501412899235
Affordable housing,7/1/2010,111.54858698185795
Affordable housing,8/1/2010,109.201056231291
Affordable housing,9/1/2010,105.99586077010962
Affordable housing,10/1/2010,97.35292357106891
Affordable housing,11/1/2010,89.45702782027959
Affordable housing,12/1/2010,81.39489333396908
Affordable housing,1/1/2011,109.56786122028467
Affordable housing,2/1/2011,106.79753660526191
Affordable housing,3/1/2011,115.1163617807073
Affordable housing,4/1/2011,113.72649195710308
Affordable housing,5/1/2011,118.05535037877127
Affordable housing,6/1/2011,108.83238196028786
Affordable housing,7/1/2011,113.46025028655347
Affordable housing,8/1/2011,119.35782370487415
Affordable housing,9/1/2011,97.61253610718879
Affordable housing,10/1/2011,99.78732376524103
Affordable housing,11/1/2011,101.80646112946977
Affordable housing,12/1/2011,94.55840563705144
Affordable housing,1/1/2012,113.74700737179207
Affordable housing,2/1/2012,102.69934438101708
Affordable housing,3/1/2012,127.2677905622366
Affordable housing,4/1/2012,110.15370700961903
Affordable housing,5/1/2012,110.4455197772121
Affordable housing,6/1/2012,114.44839343047092
Affordable housing,7/1/2012,114.66131929100172
Affordable housing,8/1/2012,115.30202816060945
Affordable housing,9/1/2012,111.36277154199838
Affordable housing,10/1/2012,96.91078872059484
Affordable housing,11/1/2012,86.02881813314384
Affordable housing,12/1/2012,79.88484957176934
Affordable housing,1/1/2013,110.48467323824269
Affordable housing,2/1/2013,107.56286430037399
Affordable housing,3/1/2013,101.66699566300251
Affordable housing,4/1/2013,112.45343741094682
Affordable housing,5/1/2013,111.779495850273
Affordable housing,6/1/2013,108.80894468229427
Affordable housing,7/1/2013,117.86946495208929
Affordable housing,8/1/2013,128.93724305426764
Affordable housing,9/1/2013,112.62303444820375
Affordable housing,10/1/2013,117.64540012566063
Affordable housing,11/1/2013,114.79149216774596
Affordable housing,12/1/2013,103.9487948533073
Affordable housing,1/1/2014,129.65277589570394
Affordable housing,2/1/2014,124.76369902876523
Affordable housing,3/1/2014,131.4419585859462
Affordable housing,4/1/2014,130.42230665468844
Affordable housing,5/1/2014,138.17258454768788
Affordable housing,6/1/2014,124.94698936111574
Affordable housing,7/1/2014,151.67033550210544
Affordable housing,8/1/2014,141.70253810807336
Affordable housing,9/1/2014,128.06932714694705
Affordable housing,10/1/2014,126.71998062612802
Affordable housing,11/1/2014,113.4202841177188
Affordable housing,12/1/2014,108.93519822985506
Affordable housing,1/1/2015,131.7475438853553
Affordable housing,2/1/2015,140.01356547966083
Affordable housing,3/1/2015,140.6735214652116
Affordable housing,4/1/2015,143.4491188761975
Affordable housing,5/1/2015,148.09779981464817
Affordable housing,6/1/2015,160.65321724682818
Affordable housing,7/1/2015,150.28198153004206
Affordable housing,8/1/2015,150.9021272471676
Affordable housing,9/1/2015,144.0255804570041
Affordable housing,10/1/2015,132.2671535126467
Affordable housing,11/1/2015,114.43756654028738
Affordable housing,12/1/2015,117.46131750326286
Affordable housing,1/1/2016,140.5995449162007
Affordable housing,2/1/2016,149.6521474912831
Affordable housing,3/1/2016,159.4024055392883
Affordable housing,4/1/2016,159.2497707913088
Affordable housing,5/1/2016,163.4273647787358
Affordable housing,6/1/2016,157.1367659127206
Affordable housing,7/1/2016,149.05270193165825
Affordable housing,8/1/2016,158.9295138120137
Affordable housing,9/1/2016,143.7435719553706
Affordable housing,10/1/2016,141.52993530604076
Affordable housing,11/1/2016,138.041374550434
Affordable housing,12/1/2016,125.32025601066152
Affordable housing,1/1/2017,155.35963566937943
Affordable housing,2/1/2017,162.15979619911676
Affordable housing,3/1/2017,161.95522733062361
Affordable housing,4/1/2017,154.3974603357893
Affordable housing,5/1/2017,163.46411390178972
Affordable housing,6/1/2017,161.29854635766335
Affordable housing,7/1/2017,173.74538067077827
Affordable housing,8/1/2017,163.78609402396896
Affordable housing,9/1/2017,151.6770863055055
Affordable housing,10/1/2017,160.68512596459897
Affordable housing,11/1/2017,152.72400832514055
Affordable housing,12/1/2017,133.8012414151765
Affordable housing,1/1/2018,159.06869983111304
Affordable housing,2/1/2018,168.38096373239725
Affordable housing,3/1/2018,166.07725391152383
Affordable housing,4/1/2018,174.2481208914618
Affordable housing,5/1/2018,162.95070918054418
Affordable housing,6/1/2018,171.1088435288624
Affordable housing,7/1/2018,165.9720653040784
Affordable housing,8/1/2018,168.85833797596771
Affordable housing,9/1/2018,153.89658817337397
Affordable housing,10/1/2018,169.502665995725
Affordable housing,11/1/2018,152.60727410315775
Affordable housing,12/1/2018,137.10928439107087
Affordable housing,1/1/2019,169.26667714891343
Affordable housing,2/1/2019,174.1738164839818
Affordable housing,3/1/2019,175.89937276609058
Affordable housing,4/1/2019,169.36416414084454
Affordable housing,5/1/2019,169.5389177813109
Affordable housing,6/1/2019,172.2206270127521
Affordable housing,7/1/2019,183.92202900431784
Affordable housing,8/1/2019,173.95258138075556
Affordable housing,9/1/2019,164.7854989570104
Affordable housing,10/1/2019,164.31405866461623
Affordable housing,11/1/2019,152.12621993413555
Affordable housing,12/1/2019,153.719457343001
Affordable housing,1/1/2020,173.07956777999712
Affordable housing,2/1/2020,176.5021947263985
Affordable housing,3/1/2020,124.09270464312499
Affordable housing,4/1/2020,110.67850622300742
Affordable housing,5/1/2020,133.5045357792978
Affordable housing,6/1/2020,148.22811774680102
Affordable housing,7/1/2020,161.03855701941404
Affordable housing,8/1/2020,143.7670655333912
Affordable housing,9/1/2020,139.203138784582
Affordable housing,10/1/2020,138.4331039375149
Affordable housing,11/1/2020,121.57482779062727
Affordable housing,12/1/2020,111.45329607226094
Affordable housing,1/1/2021,131.4838125842884
Affordable housing,2/1/2021,146.4516837537008
Affordable housing,3/1/2021,143.6739859993095
Affordable housing,4/1/2021,150.28236615813634
Affordable housing,5/1/2021,144.08470190751015
Affordable housing,6/1/2021,151.34723408881717
Affordable housing,7/1/2021,154.30280486892127
Affordable housing,8/1/2021,150.09760713600005
Affordable housing,9/1/2021,157.40120428333475
Affordable housing,10/1/2021,168.1574838917796
Affordable housing,11/1/2021,171.3461347563958
Affordable housing,12/1/2021,169.93926244421232
Affordable housing,1/1/2022,217.16287834738827
Affordable housing,2/1/2022,266.70592236219676
Affordable housing,3/1/2022,267.1702487055616
Affordable housing,4/1/2022,263.5037766470273
Affordable housing,5/1/2022,250.38614361014794
Affordable housing,6/1/2022,247.99084834571144
Affordable housing,7/1/2022,248.60380762185628
Affordable housing,8/1/2022,248.0198304421699
Affordable housing,9/1/2022,232.9167231535165
Affordable housing,10/1/2022,216.1556324666362
Affordable housing,11/1/2022,214.2936525251494
Affordable housing,12/1/2022,202.0754179483881
Affordable housing,1/1/2023,236.5670413498023
Affordable housing,2/1/2023,258.9716623613203
Affordable housing,3/1/2023,268.9460724214676
Affordable housing,4/1/2023,254.6698931295723
Affordable housing,5/1/2023,258.6203688948168
Affordable housing,6/1/2023,250.72462194242635
Affordable housing,7/1/2023,254.09687501410247
Affordable housing,8/1/2023,258.8546076008592
Affordable housing,9/1/2023,238.03015953642088
Affordable housing,10/1/2023,243.40751285143705
Affordable housing,11/1/2023,237.65681381087734
Affordable housing,12/1/2023,214.92502298140178
Affordable housing,1/1/2024,250.39919617528028
Affordable housing,2/1/2024,253.19967471653675
Affordable housing,3/1/2024,252.99877551492338
Affordable housing,4/1/2024,260.20874347832057
Affordable housing,5/1/2024,244.37714417167138
Affordable housing,6/1/2024,245.78103914123912
Affordable housing,7/1/2024,248.9367674283415
Affordable housing,8/1/2024,256.4934677308007
Rent prices,1/1/2010,43.9397667923258
Rent prices,2/1/2010,45.821933372050125
Rent prices,3/1/2010,43.59383937080785
Rent prices,4/1/2010,46.12530365340479
Rent prices,5/1/2010,47.458023626472375
Rent prices,6/1/2010,39.3239006907674
Rent prices,7/1/2010,43.00990422615333
Rent prices,8/1/2010,38.53252674445478
Rent prices,9/1/2010,33.38896769020129
Rent prices,10/1/2010,32.83469828447928
Rent prices,11/1/2010,34.30314242127366
Rent prices,12/1/2010,35.650470587745815
Rent prices,1/1/2011,50.93660564574404
Rent prices,2/1/2011,45.467301093952614
Rent prices,3/1/2011,48.427256487518555
Rent prices,4/1/2011,50.121524715903874
Rent prices,5/1/2011,56.749072886777014
Rent prices,6/1/2011,52.77307001298698
Rent prices,7/1/2011,54.25229337202639
Rent prices,8/1/2011,49.05609891376607
Rent prices,9/1/2011,46.47368413140851
Rent prices,10/1/2011,43.00001258593771
Rent prices,11/1/2011,42.39994527876976
Rent prices,12/1/2011,38.961531534420864
Rent prices,1/1/2012,48.234990527961905
Rent prices,2/1/2012,50.77296791610939
Rent prices,3/1/2012,48.95979095843369
Rent prices,4/1/2012,55.27145892751189
Rent prices,5/1/2012,55.283318127574745
Rent prices,6/1/2012,54.668972032147934
Rent prices,7/1/2012,51.71134698307299
Rent prices,8/1/2012,50.19044381506672
Rent prices,9/1/2012,46.33205465187863
Rent prices,10/1/2012,42.07659351814068
Rent prices,11/1/2012,37.675932999563884
Rent prices,12/1/2012,35.221344911993484
Rent prices,1/1/2013,44.7283225499395
Rent prices,2/1/2013,47.740353913663135
Rent prices,3/1/2013,51.7793175954658
Rent prices,4/1/2013,53.23852159753187
Rent prices,5/1/2013,52.837359136718355
Rent prices,6/1/2013,55.37235856784465
Rent prices,7/1/2013,53.19283067637822
Rent prices,8/1/2013,54.09366401114658
Rent prices,9/1/2013,43.71148733374423
Rent prices,10/1/2013,42.47580972582927
Rent prices,11/1/2013,37.90697106747647
Rent prices,12/1/2013,40.92585993447486
Rent prices,1/1/2014,51.88978150690321
Rent prices,2/1/2014,51.07042919520704
Rent prices,3/1/2014,50.55479122875131
Rent prices,4/1/2014,57.21713091170096
Rent prices,5/1/2014,57.64998809184132
Rent prices,6/1/2014,52.033834220858395
Rent prices,7/1/2014,56.1848698659269
Rent prices,8/1/2014,47.5857069905737
Rent prices,9/1/2014,44.083869365276755
Rent prices,10/1/2014,45.23558088851335
Rent prices,11/1/2014,41.31434393667217
Rent prices,12/1/2014,44.445718654805866
Rent prices,1/1/2015,54.3137209959791
Rent prices,2/1/2015,48.09034691040185
Rent prices,3/1/2015,55.511570755322076
Rent prices,4/1/2015,54.424014238812546
Rent prices,5/1/2015,58.76545088588369
Rent prices,6/1/2015,56.94132330158909
Rent prices,7/1/2015,61.175863863243585
Rent prices,8/1/2015,55.90416174415662
Rent prices,9/1/2015,52.62846269459802
Rent prices,10/1/2015,47.91535132567685
Rent prices,11/1/2015,47.20971977209191
Rent prices,12/1/2015,44.61141884032612
Rent prices,1/1/2016,55.36180022347179
Rent prices,2/1/2016,57.062501692504796
Rent prices,3/1/2016,60.2932313896899
Rent prices,4/1/2016,55.379071709754406
Rent prices,5/1/2016,64.0982026744235
Rent prices,6/1/2016,65.29489367540333
Rent prices,7/1/2016,58.75285514862017
Rent prices,8/1/2016,51.2860341237446
Rent prices,9/1/2016,50.52643133237697
Rent prices,10/1/2016,48.35790244788112
Rent prices,11/1/2016,46.04038110259864
Rent prices,12/1/2016,44.0039617624006
Rent prices,1/1/2017,55.36748287023317
Rent prices,2/1/2017,56.876307398641075
Rent prices,3/1/2017,53.59161785870492
Rent prices,4/1/2017,61.93040304325456
Rent prices,5/1/2017,58.27581956502097
Rent prices,6/1/2017,58.67570252399648
Rent prices,7/1/2017,62.892514662139234
Rent prices,8/1/2017,52.556930461625726
Rent prices,9/1/2017,49.477255736307825
Rent prices,10/1/2017,50.55445524311759
Rent prices,11/1/2017,47.54445076097215
Rent prices,12/1/2017,47.11727423530258
Rent prices,1/1/2018,54.691410093477614
Rent prices,2/1/2018,52.775650563413734
Rent prices,3/1/2018,52.349071596851516
Rent prices,4/1/2018,53.702344024632026
Rent prices,5/1/2018,65.33097963615504
Rent prices,6/1/2018,58.40617637709393
Rent prices,7/1/2018,63.50090629861838
Rent prices,8/1/2018,56.05118900961173
Rent prices,9/1/2018,52.93248964627346
Rent prices,10/1/2018,49.04456665514556
Rent prices,11/1/2018,47.83000267436798
Rent prices,12/1/2018,44.005020448076344
Rent prices,1/1/2019,54.466115747531745
Rent prices,2/1/2019,52.40990199329164
Rent prices,3/1/2019,58.81915104563865
Rent prices,4/1/2019,50.96129190394238
Rent prices,5/1/2019,59.02679280267149
Rent prices,6/1/2019,56.3111142377743
Rent prices,7/1/2019,57.56638545588513
Rent prices,8/1/2019,47.57115612461489
Rent prices,9/1/2019,46.91782339505622
Rent prices,10/1/2019,45.69912184968782
Rent prices,11/1/2019,39.268871036002345
Rent prices,12/1/2019,37.54445235938338
Rent prices,1/1/2020,47.43421356526927
Rent prices,2/1/2020,49.55075901374081
Rent prices,3/1/2020,39.884867254966416
Rent prices,4/1/2020,41.91515583928106
Rent prices,5/1/2020,49.18314876022434
Rent prices,6/1/2020,49.0371870755265
Rent prices,7/1/2020,42.57171919939663
Rent prices,8/1/2020,45.133288345949815
Rent prices,9/1/2020,46.89157339170844
Rent prices,10/1/2020,44.33057046934443
Rent prices,11/1/2020,38.0524605472894
Rent prices,12/1/2020,36.58820632450677
Rent prices,1/1/2021,43.81512307379104
Rent prices,2/1/2021,46.47555313880869
Rent prices,3/1/2021,49.17118957325107
Rent prices,4/1/2021,51.33279673247985
Rent prices,5/1/2021,55.68112995933178
Rent prices,6/1/2021,55.21754488905443
Rent prices,7/1/2021,56.95197317131953
Rent prices,8/1/2021,54.35190076014085
Rent prices,9/1/2021,48.83250537980574
Rent prices,10/1/2021,48.837691357856876
Rent prices,11/1/2021,49.12616196798584
Rent prices,12/1/2021,43.97667800167437
Rent prices,1/1/2022,67.8676162651403
Rent prices,2/1/2022,69.71111759131786
Rent prices,3/1/2022,85.44109604394964
Rent prices,4/1/2022,73.72942735827203
Rent prices,5/1/2022,81.21580380006901
Rent prices,6/1/2022,87.18111343127104
Rent prices,7/1/2022,77.19026100058964
Rent prices,8/1/2022,62.44182739137143
Rent prices,9/1/2022,64.18416471097382
Rent prices,10/1/2022,62.51065146526524
Rent prices,11/1/2022,53.05520846207737
Rent prices,12/1/2022,50.71492584692113
Rent prices,1/1/2023,59.97605272864871
Rent prices,2/1/2023,60.438097862835704
Rent prices,3/1/2023,61.3892404086682
Rent prices,4/1/2023,64.06480373896244
Rent prices,5/1/2023,62.23704258827414
Rent prices,6/1/2023,62.82259621421651
Rent prices,7/1/2023,58.61554377587057
Rent prices,8/1/2023,56.51550680635504
Rent prices,9/1/2023,57.76009710538927
Rent prices,10/1/2023,59.355188919982304
Rent prices,11/1/2023,51.34763742518522
Rent prices,12/1/2023,50.93769475544374
Rent prices,1/1/2024,55.488652336521874
Rent prices,2/1/2024,60.03303753796637
Rent prices,3/1/2024,52.453817595837904
Rent prices,4/1/2024,68.67274602263255
Rent prices,5/1/2024,60.09047041027273
Rent prices,6/1/2024,62.82312157991244
Rent prices,7/1/2024,57.45239306478329
Rent prices,8/1/2024,55.58862494799385
Housing costs,1/1/2010,18.795521398962354
Housing costs,2/1/2010,17.914212462383883
Housing costs,3/1/2010,23.1774936333376
Housing costs,4/1/2010,22.10150708646381
Housing costs,5/1/2010,16.446326533191453
Housing costs,6/1/2010,15.979682160001005
Housing costs,7/1/2010,13.084499002306426
Housing costs,8/1/2010,13.374239367062513
Housing costs,9/1/2010,12.76627457034593
Housing costs,10/1/2010,11.564437911290147
Housing costs,11/1/2010,13.607722957266219
Housing costs,12/1/2010,13.727107544723212
Housing costs,1/1/2011,13.34475518714845
Housing costs,2/1/2011,19.415341346318343
Housing costs,3/1/2011,19.576623776323576
Housing costs,4/1/2011,19.350235024610345
Housing costs,5/1/2011,17.174093117790513
Housing costs,6/1/2011,15.109392163512027
Housing costs,7/1/2011,15.994143961758367
Housing costs,8/1/2011,15.197732790778355
Housing costs,9/1/2011,13.046534289815128
Housing costs,10/1/2011,14.265955586589781
Housing costs,11/1/2011,14.748556277328202
Housing costs,12/1/2011,13.25148505658434
Housing costs,1/1/2012,15.287901917121461
Housing costs,2/1/2012,18.37361806796611
Housing costs,3/1/2012,18.78158762838892
Housing costs,4/1/2012,21.792472840526646
Housing costs,5/1/2012,15.3450663846913
Housing costs,6/1/2012,14.321994603337128
Housing costs,7/1/2012,13.810685268636671
Housing costs,8/1/2012,13.263238975640979
Housing costs,9/1/2012,12.058347067787404
Housing costs,10/1/2012,14.044038450952115
Housing costs,11/1/2012,13.924512721872714
Housing costs,12/1/2012,12.390134292813078
Housing costs,1/1/2013,16.323281418007564
Housing costs,2/1/2013,17.35033702294322
Housing costs,3/1/2013,17.60307420183146
Housing costs,4/1/2013,20.095699676307227
Housing costs,5/1/2013,16.627752970444284
Housing costs,6/1/2013,12.938754336403287
Housing costs,7/1/2013,14.306327026666827
Housing costs,8/1/2013,14.932821820185382
Housing costs,9/1/2013,12.458484363814968
Housing costs,10/1/2013,15.026937361172687
Housing costs,11/1/2013,14.833138531436518
Housing costs,12/1/2013,12.896069686871996
Housing costs,1/1/2014,17.01082450965641
Housing costs,2/1/2014,19.012065216528914
Housing costs,3/1/2014,19.779571327684007
Housing costs,4/1/2014,19.848848068888515
Housing costs,5/1/2014,16.94237652421833
Housing costs,6/1/2014,13.921103446319972
Housing costs,7/1/2014,15.610139167866116
Housing costs,8/1/2014,14.952450087155855
Housing costs,9/1/2014,13.94460158007934
Housing costs,10/1/2014,14.50381556212375
Housing costs,11/1/2014,16.2447895392853
Housing costs,12/1/2014,13.862906193962422
Housing costs,1/1/2015,15.931860512343766
Housing costs,2/1/2015,18.981764385863897
Housing costs,3/1/2015,22.306041344717606
Housing costs,4/1/2015,22.0644747026193
Housing costs,5/1/2015,17.573337794797535
Housing costs,6/1/2015,13.15466319547515
Housing costs,7/1/2015,16.70801418076893
Housing costs,8/1/2015,15.470085666955088
Housing costs,9/1/2015,15.825901684782906
Housing costs,10/1/2015,16.939390874675233
Housing costs,11/1/2015,16.974449796427812
Housing costs,12/1/2015,14.836958803219739
Housing costs,1/1/2016,16.485817422341412
Housing costs,2/1/2016,22.223249406664213
Housing costs,3/1/2016,21.363491252028666
Housing costs,4/1/2016,23.894647238322808
Housing costs,5/1/2016,17.97495329301881
Housing costs,6/1/2016,15.56031415732607
Housing costs,7/1/2016,14.690143237946709
Housing costs,8/1/2016,13.677037874199465
Housing costs,9/1/2016,14.678412255700579
Housing costs,10/1/2016,16.19504712491106
Housing costs,11/1/2016,14.591211411184108
Housing costs,12/1/2016,13.808245562862288
Housing costs,1/1/2017,17.2318242869946
Housing costs,2/1/2017,20.746795654865497
Housing costs,3/1/2017,21.843631672891615
Housing costs,4/1/2017,24.263959722984584
Housing costs,5/1/2017,18.801015447578138
Housing costs,6/1/2017,14.120333759700646
Housing costs,7/1/2017,15.351121196568444
Housing costs,8/1/2017,14.245391451416522
Housing costs,9/1/2017,14.126230376593288
Housing costs,10/1/2017,15.524932757853946
Housing costs,11/1/2017,16.324415877781917
Housing costs,12/1/2017,14.87649231479117
Housing costs,1/1/2018,16.574190764984042
Housing costs,2/1/2018,19.630383256502444
Housing costs,3/1/2018,21.791368389445726
Housing costs,4/1/2018,24.54005550393463
Housing costs,5/1/2018,20.72608845526124
Housing costs,6/1/2018,15.49079767713161
Housing costs,7/1/2018,15.408272811453466
Housing costs,8/1/2018,15.5284988239206
Housing costs,9/1/2018,14.816094707110574
Housing costs,10/1/2018,16.61110682643548
Housing costs,11/1/2018,16.698992918689967
Housing costs,12/1/2018,14.560443176985519
Housing costs,1/1/2019,17.840035383569322
Housing costs,2/1/2019,20.37982475327589
Housing costs,3/1/2019,21.318157853783163
Housing costs,4/1/2019,23.61366375431968
Housing costs,5/1/2019,20.419578012072353
Housing costs,6/1/2019,14.837541806657864
Housing costs,7/1/2019,14.545585695529013
Housing costs,8/1/2019,13.751917811234572
Housing costs,9/1/2019,15.032432674721232
Housing costs,10/1/2019,17.041784703445295
Housing costs,11/1/2019,14.858720405461785
Housing costs,12/1/2019,13.163103275119395
Housing costs,1/1/2020,18.47608681711214
Housing costs,2/1/2020,18.967946006653477
Housing costs,3/1/2020,16.091808718800255
Housing costs,4/1/2020,17.17581620963046
Housing costs,5/1/2020,13.043085857552049
Housing costs,6/1/2020,12.409917106987082
Housing costs,7/1/2020,15.79990852531505
Housing costs,8/1/2020,12.874089355915132
Housing costs,9/1/2020,13.729898032361643
Housing costs,10/1/2020,13.196126766212243
Housing costs,11/1/2020,11.260991095590436
Housing costs,12/1/2020,10.805612095167918
