Term,Date,Value
Property values,1/1/2010,74.14274801463856
Property values,2/1/2010,78.4580826625693
Property values,3/1/2010,78.51983683075
Property values,4/1/2010,75.0190023332216
Property values,5/1/2010,69.03331055334013
Property values,6/1/2010,75.30397306498762
Property values,7/1/2010,69.96897035274414
Property values,8/1/2010,67.0226159504935
Property values,9/1/2010,56.25912334271835
Property values,10/1/2010,53.835134534423176
Property values,11/1/2010,50.91509701353243
Property values,12/1/2010,41.97378039138985
Property values,1/1/2011,60.4291356086861
Property values,2/1/2011,57.3514313817268
Property values,3/1/2011,55.09860744677475
Property values,4/1/2011,52.84202088316155
Property values,5/1/2011,58.871672236337815
Property values,6/1/2011,60.13638660404015
Property values,7/1/2011,60.47459783832396
Property values,8/1/2011,58.453269618069164
Property values,9/1/2011,52.87346540467385
Property values,10/1/2011,50.91708143537149
Property values,11/1/2011,46.03137154698286
Property values,12/1/2011,42.591303831031084
Property values,1/1/2012,57.1024892538735
Property values,2/1/2012,54.900346479621376
Property values,3/1/2012,56.22673746180621
Property values,4/1/2012,60.881237457593635
Property values,5/1/2012,50.67237799566014
Property values,6/1/2012,53.58257477502646
Property values,7/1/2012,56.44503629359832
Property values,8/1/2012,52.05383559258686
Property values,9/1/2012,49.127405273397045
Property values,10/1/2012,47.04862457165408
Property values,11/1/2012,43.92784134020276
Property values,12/1/2012,40.9267913764733
Property values,1/1/2013,51.67740106424215
Property values,2/1/2013,48.51192643607649
Property values,3/1/2013,52.330355446363214
Property values,4/1/2013,53.96843069185674
Property values,5/1/2013,52.092124456393236
Property values,6/1/2013,49.74432603009901
Property values,7/1/2013,50.89678132824051
Property values,8/1/2013,48.76575996700579
Property values,9/1/2013,45.506195315020435
Property values,10/1/2013,46.29458172301731
Property values,11/1/2013,41.70852584322412
Property values,12/1/2013,36.041430419329096
Property values,1/1/2014,45.74183434233887
Property values,2/1/2014,48.14138578056546
Property values,3/1/2014,45.82835373276039
Property values,4/1/2014,49.44221625321136
Property values,5/1/2014,46.74885426875897
Property values,6/1/2014,43.367522600325884
Property values,7/1/2014,45.01247331151227
Property values,8/1/2014,42.93378970618997
Property values,9/1/2014,39.62881945467146
Property values,10/1/2014,38.37818420180392
Property values,11/1/2014,31.659451482461577
Property values,12/1/2014,32.72900391809936
Property values,1/1/2015,39.084341284284264
Property values,2/1/2015,41.827351388280675
Property values,3/1/2015,43.32938866384529
Property values,4/1/2015,44.019706718876286
Property values,5/1/2015,44.44829026338541
Property values,6/1/2015,43.38973507059066
Property values,7/1/2015,43.7086397509939
Property values,8/1/2015,41.90084323422838
Property values,9/1/2015,40.79436594174492
Property values,10/1/2015,38.70404553812639
Property values,11/1/2015,32.93167525124585
Property values,12/1/2015,32.90248265986899
Property values,1/1/2016,34.416446998859605
Property values,2/1/2016,37.47300470330802
Property values,3/1/2016,37.59176085251162
Property values,4/1/2016,41.69040014174641
Property values,5/1/2016,38.32675164377065
Property values,6/1/2016,37.24121109962229
Property values,7/1/2016,35.6474189229722
Property values,8/1/2016,32.98577504948459
Property values,9/1/2016,30.610807174269734
Property values,10/1/2016,31.75200963677113
Property values,11/1/2016,29.713866754774678
Property values,12/1/2016,27.872565901909656
Property values,1/1/2017,32.10112766858614
Property values,2/1/2017,35.53141254164572
Property values,3/1/2017,36.29042704069285
Property values,4/1/2017,38.53507316482836
Property values,5/1/2017,33.91300391304314
Property values,6/1/2017,33.59821575830863
Property values,7/1/2017,32.484161871103304
Property values,8/1/2017,30.99159692196387
Property values,9/1/2017,30.05642661109905
