Term,Date,Value
Airbnb,1/1/2010,5.329381816749928
Airbnb,2/1/2010,8.136500477746374
Airbnb,3/1/2010,12.269697591248073
Airbnb,4/1/2010,15.101530203498596
Airbnb,5/1/2010,16.699401554843774
Airbnb,6/1/2010,21.655895416687855
Airbnb,7/1/2010,36.02499011607899
Airbnb,8/1/2010,26.168158042275046
Airbnb,9/1/2010,28.46019158181629
Airbnb,10/1/2010,29.01134608306223
Airbnb,11/1/2010,31.877472628451148
Airbnb,12/1/2010,27.977008892197055
Airbnb,1/1/2011,41.25120774780043
Airbnb,2/1/2011,42.37431687770131
Airbnb,3/1/2011,59.95521683566993
Airbnb,4/1/2011,63.57296115352307
Airbnb,5/1/2011,93.31287044268518
Airbnb,6/1/2011,121.57627363076293
Airbnb,7/1/2011,156.92214956591974
Airbnb,8/1/2011,177.2099346212846
Airbnb,9/1/2011,132.87210943550144
Airbnb,10/1/2011,120.03337775424295
Airbnb,11/1/2011,111.2605365313665
Airbnb,12/1/2011,108.98638534180672
Airbnb,1/1/2012,140.59499080933455
Airbnb,2/1/2012,161.62969966740982
Airbnb,3/1/2012,190.66774471580848
Airbnb,4/1/2012,230.11053023799215
Airbnb,5/1/2012,265.2398513124668
Airbnb,6/1/2012,314.03040046209287
Airbnb,7/1/2012,303.5626643333603
Airbnb,8/1/2012,316.66306494701234
Airbnb,9/1/2012,283.7399636686103
Airbnb,10/1/2012,282.6150686113926
Airbnb,11/1/2012,294.8942357454441
Airbnb,12/1/2012,271.59089855101143
Airbnb,1/1/2013,335.9611355781692
Airbnb,2/1/2013,377.8716972140404
Airbnb,3/1/2013,459.4794970415928
Airbnb,4/1/2013,422.9244441421991
Airbnb,5/1/2013,542.4148871880537
Airbnb,6/1/2013,565.7075621678646
Airbnb,7/1/2013,597.7537113240976
Airbnb,8/1/2013,608.7854015273687
Airbnb,9/1/2013,511.85220133324685
Airbnb,10/1/2013,543.0817463974289
Airbnb,11/1/2013,533.2229638919199
Airbnb,12/1/2013,517.2234142477323
Airbnb,1/1/2014,718.7639330245922
Airbnb,2/1/2014,675.3463241384588
Airbnb,3/1/2014,835.2645480250775
Airbnb,4/1/2014,1001.4298226117106
Airbnb,5/1/2014,1025.2044781771806
Airbnb,6/1/2014,1093.5689396909709
Airbnb,7/1/2014,1433.1387471507528
Airbnb,8/1/2014,1254.4656282909227
Airbnb,9/1/2014,1082.9909911254726
Airbnb,10/1/2014,1030.4866969769223
Airbnb,11/1/2014,900.0658243476214
Airbnb,12/1/2014,951.6400348243842
Airbnb,1/1/2015,1154.2262267640508
Airbnb,2/1/2015,1216.1792594510564
Airbnb,3/1/2015,1365.3296866159826
Airbnb,4/1/2015,1560.2108591816286
Airbnb,5/1/2015,1858.109172864236
Airbnb,6/1/2015,2065.388404582001
Airbnb,7/1/2015,2222.1232341850255
Airbnb,8/1/2015,2208.93841829483
Airbnb,9/1/2015,1714.7574378097095
Airbnb,10/1/2015,1617.053178932152
Airbnb,11/1/2015,1552.3168536399185
Airbnb,12/1/2015,1605.1846775120416
Airbnb,1/1/2016,1829.547336615685
Airbnb,2/1/2016,2084.7718867712897
Airbnb,3/1/2016,2123.807181558183
Airbnb,4/1/2016,2124.8699237386277
Airbnb,5/1/2016,2722.3173563976934
Airbnb,6/1/2016,3224.171685647533
Airbnb,7/1/2016,2894.4823904975356
