Term,Date,Value
Zoning laws,1/1/2010,13.007558068775554
Zoning laws,2/1/2010,14.81410790316666
Zoning laws,3/1/2010,17.57241656322373
Zoning laws,4/1/2010,20.65391654061384
Zoning laws,5/1/2010,18.613630240636976
Zoning laws,6/1/2010,17.18280875663617
Zoning laws,7/1/2010,14.18487880295809
Zoning laws,8/1/2010,14.754704775492298
Zoning laws,9/1/2010,13.531254092161932
Zoning laws,10/1/2010,14.0402193100005
Zoning laws,11/1/2010,13.497379620539657
Zoning laws,12/1/2010,10.351935781248985
Zoning laws,1/1/2011,13.934121546893758
Zoning laws,2/1/2011,15.03078010882798
Zoning laws,3/1/2011,16.824760627220535
Zoning laws,4/1/2011,20.09220239891344
Zoning laws,5/1/2011,17.928087792453642
Zoning laws,6/1/2011,15.497511913416519
Zoning laws,7/1/2011,14.947442235673462
Zoning laws,8/1/2011,13.242098809149
Zoning laws,9/1/2011,14.06391211302856
Zoning laws,10/1/2011,15.063138583868074
Zoning laws,11/1/2011,12.930575730617365
Zoning laws,12/1/2011,11.726126144548656
Zoning laws,1/1/2012,15.234515125923965
Zoning laws,2/1/2012,16.76797232897072
Zoning laws,3/1/2012,16.08200716678263
Zoning laws,4/1/2012,17.556247154947624
Zoning laws,5/1/2012,16.941106313232712
Zoning laws,6/1/2012,14.116941397828318
Zoning laws,7/1/2012,15.111155690176416
Zoning laws,8/1/2012,13.394835346718503
Zoning laws,9/1/2012,13.475773790851601
Zoning laws,10/1/2012,14.720169934476521
Zoning laws,11/1/2012,14.5169152638048
Zoning laws,12/1/2012,10.686884941920791
Zoning laws,1/1/2013,13.354813590509647
Zoning laws,2/1/2013,13.980290890011593
Zoning laws,3/1/2013,15.218604114598719
Zoning laws,4/1/2013,18.046467386143025
Zoning laws,5/1/2013,15.377194439718789
Zoning laws,6/1/2013,14.639535844283966
Zoning laws,7/1/2013,14.267521014242677
Zoning laws,8/1/2013,13.646119759325053
Zoning laws,9/1/2013,14.392688101277248
Zoning laws,10/1/2013,13.88344398423687
Zoning laws,11/1/2013,12.65144435760727
Zoning laws,12/1/2013,10.858024330523325
Zoning laws,1/1/2014,12.653214444554806
Zoning laws,2/1/2014,14.332193414015684
Zoning laws,3/1/2014,14.147123114434073
Zoning laws,4/1/2014,15.697632460809666
Zoning laws,5/1/2014,14.589471336230439
Zoning laws,6/1/2014,15.410728554539066
Zoning laws,7/1/2014,13.526589766886694
Zoning laws,8/1/2014,12.608306241759877
Zoning laws,9/1/2014,14.178097697704235
Zoning laws,10/1/2014,13.997093066089127
Zoning laws,11/1/2014,12.291326097255254
Zoning laws,12/1/2014,10.6477471096343
Zoning laws,1/1/2015,11.66759057187022
Zoning laws,2/1/2015,13.250009581301613
Zoning laws,3/1/2015,16.05206243132235
Zoning laws,4/1/2015,16.91637673192199
Zoning laws,5/1/2015,16.573176886550595
Zoning laws,6/1/2015,14.899523675930412
Zoning laws,7/1/2015,14.987090301580793
Zoning laws,8/1/2015,12.74174486298377
Zoning laws,9/1/2015,13.130770674820933
Zoning laws,10/1/2015,14.24351382207378
Zoning laws,11/1/2015,13.180323800097002
Zoning laws,12/1/2015,12.093772685811338
Zoning laws,1/1/2016,13.591898784221804
Zoning laws,2/1/2016,15.062352452773863
Zoning laws,3/1/2016,15.693425690264984
Zoning laws,4/1/2016,17.67684574214769
Zoning laws,5/1/2016,16.343341112313578
Zoning laws,6/1/2016,14.289526400357206
Zoning laws,7/1/2016,12.598996549649534
Zoning laws,8/1/2016,12.495928981271376
Zoning laws,9/1/2016,14.181318047683797
Zoning laws,10/1/2016,12.89631484408371
Zoning laws,11/1/2016,12.720551274141023
Zoning laws,12/1/2016,11.385996262286916
Zoning laws,1/1/2017,12.945950969147392
Zoning laws,2/1/2017,14.473338220157421
Zoning laws,3/1/2017,15.81704005757653
Zoning laws,4/1/2017,16.610911569092345
Zoning laws,5/1/2017,16.383774217954205
Zoning laws,6/1/2017,14.460109408973072
Zoning laws,7/1/2017,13.218251548496953
Zoning laws,8/1/2017,14.494125340633252
Zoning laws,9/1/2017,13.846312065530345
Zoning laws,10/1/2017,14.505382916596572
Zoning laws,11/1/2017,13.839517307856113
Zoning laws,12/1/2017,11.540928238445499
Zoning laws,1/1/2018,13.929414476063497
Zoning laws,2/1/2018,14.769805108054841
Zoning laws,3/1/2018,15.091824892683611
Zoning laws,4/1/2018,16.919895781303723
Zoning laws,5/1/2018,15.886773705316845
Zoning laws,6/1/2018,15.36119969527886
Zoning laws,7/1/2018,13.712966575818065
Zoning laws,8/1/2018,12.265891210104794
Zoning laws,9/1/2018,13.672250944769772
Zoning laws,10/1/2018,13.668884095630974
Zoning laws,11/1/2018,12.425560686325047
Zoning laws,12/1/2018,11.271380717943208
Zoning laws,1/1/2019,13.05582060207095
Zoning laws,2/1/2019,14.104374467154987
Zoning laws,3/1/2019,15.708761799048471
Zoning laws,4/1/2019,17.345269071600153
Zoning laws,5/1/2019,15.419396145345786
Zoning laws,6/1/2019,13.957352940222236
Zoning laws,7/1/2019,13.410392569697185
Zoning laws,8/1/2019,12.960986360809443
Zoning laws,9/1/2019,12.629485591405375
Zoning laws,10/1/2019,12.932111836989145
Zoning laws,11/1/2019,12.704213954689813
Zoning laws,12/1/2019,10.286617761382216
Zoning laws,1/1/2020,11.821498359878321
Zoning laws,2/1/2020,13.529173453013126
Zoning laws,3/1/2020,10.47065421833234
Zoning laws,4/1/2020,12.472679834313583
Zoning laws,5/1/2020,14.23899208656231
Zoning laws,6/1/2020,14.207342800257862
Zoning laws,7/1/2020,13.487745350143006
Zoning laws,8/1/2020,12.587547442958037
Zoning laws,9/1/2020,13.255363142466768
Zoning laws,10/1/2020,12.926331108535207
Zoning laws,11/1/2020,10.829600390629592
Zoning laws,12/1/2020,10.140964279630847
Zoning laws,1/1/2021,10.673820024403247
Zoning laws,2/1/2021,13.095043156719292
Zoning laws,3/1/2021,13.32304788703141
Zoning laws,4/1/2021,13.641703694174936
Zoning laws,5/1/2021,12.891100297500289
Zoning laws,6/1/2021,11.991488514080297
Zoning laws,7/1/2021,12.056890644020674
Zoning laws,8/1/2021,12.08857655895459
Zoning laws,9/1/2021,13.208486229955739
Zoning laws,10/1/2021,12.206677301692821
Zoning laws,11/1/2021,10.322331322409203
Zoning laws,12/1/2021,9.466133568671152
Zoning laws,1/1/2022,14.29047948227567
Zoning laws,2/1/2022,16.14912247138396
Zoning laws,3/1/2022,18.653594616654313
Zoning laws,4/1/2022,20.710043080766336
Zoning laws,5/1/2022,16.86147851980707
Zoning laws,6/1/2022,13.19728291234561
Zoning laws,7/1/2022,12.424505870837882
Zoning laws,8/1/2022,11.89757651717961
Zoning laws,9/1/2022,12.043022799810391
Zoning laws,10/1/2022,13.778183692844078
Zoning laws,11/1/2022,12.627390927263205
Zoning laws,12/1/2022,11.887743598240313
Zoning laws,1/1/2023,13.508289060702216
Zoning laws,2/1/2023,18.335921757799863
Zoning laws,3/1/2023,17.79767035690815
Zoning laws,4/1/2023,17.30593241514713
Zoning laws,5/1/2023,16.850628454570952
Zoning laws,6/1/2023,13.438941990122585
Zoning laws,7/1/2023,12.821285999994146
Zoning laws,8/1/2023,13.410735105858565
Zoning laws,9/1/2023,14.674403183454574
Zoning laws,10/1/2023,14.58892471697666
Zoning laws,11/1/2023,13.39290982816296
Zoning laws,12/1/2023,11.147805688962622
Zoning laws,1/1/2024,13.242383441991914
Zoning laws,2/1/2024,16.82330734337801
Zoning laws,3/1/2024,18.712062297169574
Zoning laws,4/1/2024,18.794769243438576
Zoning laws,5/1/2024,15.757797991061034
Zoning laws,6/1/2024,13.206376105605242
Zoning laws,7/1/2024,11.584281127415863
Zoning laws,8/1/2024,11.860742050565893
Housing policy,1/1/2010,11.721876298502801
Housing policy,2/1/2010,13.957900721734408
Housing policy,3/1/2010,14.425657257125374
Housing policy,4/1/2010,16.206886425514256
Housing policy,5/1/2010,10.273420553798921
Housing policy,6/1/2010,9.201946949135397
Housing policy,7/1/2010,10.284194549885138
Housing policy,8/1/2010,10.561121446349219
Housing policy,9/1/2010,10.168394986684222
Housing policy,10/1/2010,10.897440573549096
Housing policy,11/1/2010,11.327533120879988
Housing policy,12/1/2010,9.054511236524366
Housing policy,1/1/2011,9.462324197026147
Housing policy,2/1/2011,10.910112119670023
Housing policy,3/1/2011,13.140860561590681
Housing policy,4/1/2011,12.81822555787479
Housing policy,5/1/2011,10.090712342498655
Housing policy,6/1/2011,9.667530900281436
Housing policy,7/1/2011,8.778033393757955
Housing policy,8/1/2011,9.440536309811788
Housing policy,9/1/2011,10.00082176890604
Housing policy,10/1/2011,10.32435970628051
Housing policy,11/1/2011,11.650725039537578
Housing policy,12/1/2011,8.285006404280784
Housing policy,1/1/2012,9.891713798351818
Housing policy,2/1/2012,11.997296849374772
Housing policy,3/1/2012,11.434357363444313
Housing policy,4/1/2012,12.448302561695893
Housing policy,5/1/2012,10.693236752659024
Housing policy,6/1/2012,9.168560015139104
Housing policy,7/1/2012,8.982454724951014
Housing policy,8/1/2012,9.210059065431288
Housing policy,9/1/2012,10.679865466704682
Housing policy,10/1/2012,11.611879904433897
Housing policy,11/1/2012,8.971921958501495
Housing policy,12/1/2012,8.476134482216091
Housing policy,1/1/2013,9.892407383431271
Housing policy,2/1/2013,11.205746710332184
Housing policy,3/1/2013,10.494572297262248
Housing policy,4/1/2013,13.512151243521926
Housing policy,5/1/2013,11.643962137279797
Housing policy,6/1/2013,8.47821478837328
Housing policy,7/1/2013,8.436173471411623
Housing policy,8/1/2013,9.24944553626186
Housing policy,9/1/2013,9.95316116215398
Housing policy,10/1/2013,11.058768536510549
Housing policy,11/1/2013,10.610185221062986
Housing policy,12/1/2013,9.129033227015773
Housing policy,1/1/2014,10.148078141636457
Housing policy,2/1/2014,10.641597344505515
Housing policy,3/1/2014,11.295330428528944
Housing policy,4/1/2014,11.853462322404498
